id,registry,registration_date,start_date,has_prospective_registration
DRKS00000287,DRKS,2009-12-09,2010-11-03,TRUE
DRKS00000293,DRKS,2009-12-15,2009-11-18,FALSE
DRKS00000436,DRKS,2011-10-11,2010-11-06,FALSE
DRKS00000485,DRKS,2010-09-07,2008-08-19,FALSE
DRKS00000491,DRKS,2010-11-10,2010-08-18,FALSE
DRKS00000525,DRKS,2010-08-24,2010-09-17,TRUE
DRKS00000535,DRKS,2010-08-27,2009-05-01,FALSE
DRKS00000565,DRKS,2010-10-01,2009-07-06,FALSE
DRKS00000567,DRKS,2010-10-05,2010-11-16,TRUE
DRKS00000580,DRKS,2010-10-07,2011-03-03,TRUE
DRKS00000583,DRKS,2010-11-03,2011-08-12,TRUE
DRKS00000663,DRKS,2012-12-17,2013-04-20,TRUE
DRKS00000686,DRKS,2011-01-17,2011-04-26,TRUE
DRKS00000714,DRKS,2011-02-24,2011-01-05,FALSE
DRKS00000716,DRKS,2011-02-09,2008-06-03,FALSE
DRKS00000801,DRKS,2011-05-12,2011-07-01,TRUE
DRKS00001899,DRKS,2012-04-05,2008-02-01,FALSE
DRKS00002070,DRKS,2012-12-12,2009-11-19,FALSE
DRKS00003093,DRKS,2011-05-27,2011-04-11,FALSE
DRKS00003127,DRKS,2011-07-12,2011-07-20,TRUE
DRKS00003218,DRKS,2011-08-31,2011-09-05,TRUE
DRKS00003243,DRKS,2011-09-01,2011-09-05,TRUE
DRKS00003280,DRKS,2011-10-12,2011-11-16,TRUE
DRKS00003374,DRKS,2011-11-30,2009-07-09,FALSE
DRKS00003377,DRKS,2011-12-01,2011-08-24,FALSE
DRKS00003515,DRKS,2012-01-31,2012-02-01,TRUE
DRKS00003549,DRKS,2012-02-10,2012-07-13,TRUE
DRKS00004183,DRKS,2013-10-09,2012-08-02,FALSE
DRKS00004279,DRKS,2012-09-03,2012-09-03,TRUE
DRKS00004298,DRKS,2012-08-07,2012-08-07,TRUE
DRKS00004338,DRKS,2012-11-30,2013-04-03,TRUE
DRKS00004340,DRKS,2013-01-04,2012-01-18,FALSE
DRKS00004427,DRKS,2012-10-11,2009-01-16,FALSE
DRKS00004559,DRKS,2012-11-29,2009-02-24,FALSE
DRKS00004591,DRKS,2012-12-11,2012-10-15,FALSE
DRKS00004644,DRKS,2013-02-13,2013-02-01,TRUE
DRKS00004682,DRKS,2013-01-31,2011-12-15,FALSE
DRKS00004754,DRKS,2013-02-22,2013-03-08,TRUE
DRKS00005293,DRKS,2013-09-11,2013-09-16,TRUE
DRKS00003210,DRKS,2011-09-12,2010-01-06,FALSE
DRKS00004744,DRKS,2013-03-21,2013-08-29,TRUE
DRKS00004862,DRKS,2013-04-26,2013-05-31,TRUE
DRKS00007697,DRKS,2015-01-14,2013-03-12,FALSE
DRKS00003442,DRKS,2012-07-04,2012-07-23,TRUE
DRKS00011492,DRKS,2017-01-11,2013-08-08,FALSE
DRKS00005200,DRKS,2013-08-20,2013-10-01,TRUE
DRKS00010918,DRKS,2017-01-11,2017-01-12,TRUE
DRKS00007685,DRKS,2015-01-13,2015-04-27,TRUE
DRKS00011325,DRKS,2016-11-21,2017-02-20,TRUE
DRKS00005301,DRKS,2013-09-16,2013-09-10,TRUE
DRKS00007844,DRKS,2015-07-15,2015-06-29,FALSE
DRKS00008054,DRKS,2015-09-07,2015-11-16,TRUE
DRKS00011936,DRKS,2017-04-24,2012-11-01,FALSE
DRKS00005943,DRKS,2014-04-02,2014-05-12,TRUE
DRKS00012439,DRKS,2017-07-24,2017-01-09,FALSE
DRKS00000162,DRKS,2009-07-20,2009-03-23,FALSE
DRKS00004844,DRKS,2013-06-07,2012-02-09,FALSE
DRKS00005941,DRKS,2014-02-26,2013-10-14,FALSE
DRKS00003851,DRKS,2013-04-25,2013-12-09,TRUE
DRKS00003324,DRKS,2011-11-11,2011-11-16,TRUE
DRKS00009635,DRKS,2015-11-25,2015-11-04,TRUE
DRKS00000304,DRKS,2009-12-21,2010-04-08,TRUE
DRKS00004887,DRKS,2013-10-07,2013-01-16,FALSE
DRKS00006220,DRKS,2014-07-16,2014-06-09,FALSE
DRKS00012871,DRKS,2017-08-24,2013-09-02,FALSE
DRKS00000446,DRKS,2010-06-29,2009-02-12,FALSE
DRKS00009792,DRKS,2015-12-23,2012-03-01,FALSE
DRKS00010845,DRKS,2016-08-03,2015-04-09,FALSE
DRKS00011600,DRKS,2017-01-25,2015-03-03,FALSE
DRKS00011500,DRKS,2016-12-23,2016-11-10,FALSE
DRKS00009552,DRKS,2015-10-22,2011-12-01,FALSE
DRKS00005076,DRKS,2013-08-01,2013-05-06,FALSE
DRKS00005595,DRKS,2014-01-15,2013-11-18,FALSE
DRKS00009614,DRKS,2016-06-27,2014-01-03,FALSE
DRKS00010553,DRKS,2016-06-08,2014-07-24,FALSE
DRKS00011089,DRKS,2016-09-21,2016-09-23,TRUE
DRKS00012409,DRKS,2017-05-03,2017-06-06,TRUE
DRKS00013340,DRKS,2017-11-28,2016-03-01,FALSE
DRKS00003246,DRKS,2013-05-31,2013-10-23,TRUE
DRKS00003568,DRKS,2012-02-22,2011-11-30,FALSE
DRKS00004871,DRKS,2013-04-26,2013-05-02,TRUE
DRKS00007117,DRKS,2014-11-05,2014-01-01,FALSE
DRKS00009347,DRKS,2015-11-27,2015-09-23,FALSE
DRKS00009368,DRKS,2015-09-21,2015-03-11,FALSE
DRKS00009391,DRKS,2016-01-08,2015-03-24,FALSE
DRKS00009539,DRKS,2015-10-22,2014-11-19,FALSE
DRKS00011212,DRKS,2016-10-28,2015-10-16,FALSE
DRKS00011273,DRKS,2016-11-02,2016-11-03,TRUE
DRKS00012499,DRKS,2017-07-14,2016-01-09,FALSE
DRKS00012795,DRKS,2017-07-27,2013-04-02,FALSE
DRKS00004911,DRKS,2013-04-29,2013-02-27,FALSE
DRKS00004649,DRKS,2013-01-31,2013-01-01,TRUE
DRKS00004858,DRKS,2014-03-26,2014-03-31,TRUE
DRKS00004965,DRKS,2013-05-08,2013-05-07,TRUE
DRKS00006254,DRKS,2014-06-20,2014-06-30,TRUE
DRKS00010190,DRKS,2016-03-22,2016-04-10,TRUE
DRKS00003623,DRKS,2012-03-27,2012-04-12,TRUE
DRKS00004622,DRKS,2013-01-22,2013-01-25,TRUE
DRKS00004791,DRKS,2013-03-05,2013-04-01,TRUE
DRKS00005664,DRKS,2014-05-08,2014-10-01,TRUE
DRKS00007693,DRKS,2015-03-02,2015-04-13,TRUE
DRKS00009637,DRKS,2015-11-26,2015-12-17,TRUE
DRKS00011688,DRKS,2017-02-07,2016-12-16,FALSE
DRKS00011719,DRKS,2017-03-17,2015-04-10,FALSE
DRKS00003957,DRKS,2012-07-16,2012-07-17,TRUE
DRKS00004271,DRKS,2012-08-27,2012-07-15,FALSE
DRKS00005679,DRKS,2014-01-28,2013-03-08,FALSE
DRKS00006887,DRKS,2014-11-07,2014-04-14,FALSE
DRKS00007840,DRKS,2015-06-16,2015-03-16,FALSE
DRKS00008843,DRKS,2015-06-29,2015-06-30,TRUE
DRKS00009394,DRKS,2015-10-14,2015-11-03,TRUE
DRKS00010522,DRKS,2016-05-18,2014-03-19,FALSE
DRKS00010231,DRKS,2016-03-24,2015-12-18,FALSE
DRKS00000115,DRKS,2009-11-18,2010-03-01,TRUE
DRKS00006866,DRKS,2014-12-02,2015-03-11,TRUE
DRKS00009914,DRKS,2016-01-21,2012-12-01,FALSE
DRKS00009915,DRKS,2016-01-22,2013-01-01,FALSE
DRKS00010212,DRKS,2016-05-12,2016-05-09,TRUE
DRKS00012769,DRKS,2017-08-15,2017-05-01,FALSE
DRKS00013047,DRKS,2017-10-02,2013-10-04,FALSE
DRKS00006277,DRKS,2014-07-21,2014-11-11,TRUE
DRKS00010011,DRKS,2016-02-10,2015-04-17,FALSE
DRKS00010623,DRKS,2016-06-08,2016-04-29,FALSE
DRKS00012863,DRKS,2017-08-03,2017-07-25,FALSE
DRKS00000582,DRKS,2010-10-29,2010-10-09,TRUE
DRKS00000655,DRKS,2011-01-21,2012-04-01,TRUE
DRKS00000697,DRKS,2011-01-19,2008-12-01,FALSE
DRKS00003117,DRKS,2011-05-31,2012-04-23,TRUE
DRKS00003132,DRKS,2011-07-06,2009-10-01,FALSE
DRKS00003159,DRKS,2011-07-25,2011-04-05,FALSE
DRKS00003589,DRKS,2012-09-13,2013-02-01,TRUE
DRKS00003658,DRKS,2012-04-18,2011-02-15,FALSE
DRKS00003943,DRKS,2012-12-20,2003-01-23,FALSE
DRKS00004241,DRKS,2013-04-17,2013-06-21,TRUE
DRKS00004968,DRKS,2013-05-15,2013-12-01,TRUE
DRKS00005028,DRKS,2013-05-28,2013-06-25,TRUE
DRKS00005034,DRKS,2013-08-15,2013-12-01,TRUE
DRKS00005140,DRKS,2013-08-27,2013-09-02,TRUE
DRKS00005419,DRKS,2013-11-19,2013-12-13,TRUE
DRKS00005500,DRKS,2013-12-03,2013-10-09,FALSE
DRKS00005604,DRKS,2014-01-22,2014-02-06,TRUE
DRKS00005692,DRKS,2014-02-26,2014-03-03,TRUE
DRKS00005720,DRKS,2014-03-13,2008-11-27,FALSE
DRKS00006033,DRKS,2014-04-22,2015-03-01,TRUE
DRKS00006102,DRKS,2014-05-21,2014-06-11,TRUE
DRKS00006148,DRKS,2014-05-08,2014-05-24,TRUE
DRKS00006162,DRKS,2014-05-19,2014-10-01,TRUE
DRKS00006301,DRKS,2015-05-21,2015-05-31,TRUE
DRKS00006755,DRKS,2014-09-24,2013-06-26,FALSE
DRKS00007128,DRKS,2014-10-30,2015-03-04,TRUE
DRKS00007171,DRKS,2015-06-16,2014-07-20,FALSE
DRKS00007477,DRKS,2014-11-24,2014-11-19,TRUE
DRKS00007634,DRKS,2015-01-28,2011-10-28,FALSE
DRKS00008545,DRKS,2015-06-08,2015-06-12,TRUE
DRKS00008555,DRKS,2015-06-05,2015-06-09,TRUE
DRKS00008837,DRKS,2015-07-22,2015-06-26,FALSE
DRKS00008924,DRKS,2015-08-10,2015-11-05,TRUE
DRKS00009605,DRKS,2016-01-08,2016-02-01,TRUE
DRKS00009739,DRKS,2016-01-26,2016-01-26,TRUE
DRKS00010584,DRKS,2016-07-07,2016-07-14,TRUE
DRKS00010608,DRKS,2016-06-24,2016-02-02,FALSE
DRKS00011013,DRKS,2016-09-19,2016-09-30,TRUE
DRKS00011281,DRKS,2016-11-14,2016-11-17,TRUE
DRKS00011892,DRKS,2017-04-25,2015-12-15,FALSE
DRKS00011963,DRKS,2017-03-30,2017-04-11,TRUE
DRKS00006183,DRKS,2014-10-02,2014-10-06,TRUE
DRKS00003407,DRKS,2011-12-22,2011-12-22,TRUE
DRKS00004570,DRKS,2012-11-29,2013-02-19,TRUE
DRKS00009360,DRKS,2015-09-23,2015-09-10,TRUE
DRKS00006087,DRKS,2014-06-05,2014-07-15,TRUE
DRKS00009304,DRKS,2015-09-14,2015-02-23,FALSE
DRKS00009778,DRKS,2015-12-18,2015-11-10,FALSE
DRKS00010492,DRKS,2016-06-23,2016-04-27,FALSE
DRKS00004537,DRKS,2013-03-25,2012-06-15,FALSE
DRKS00005408,DRKS,2013-10-30,2012-04-15,FALSE
DRKS00008767,DRKS,2015-06-23,2015-10-16,TRUE
DRKS00009541,DRKS,2016-02-09,2016-02-15,TRUE
DRKS00010860,DRKS,2016-08-01,2012-11-15,FALSE
DRKS00011585,DRKS,2017-01-18,2017-02-01,TRUE
DRKS00004220,DRKS,2012-09-06,2010-09-01,FALSE
DRKS00008548,DRKS,2015-05-21,2015-01-30,FALSE
DRKS00008833,DRKS,2015-06-29,2010-06-01,FALSE
DRKS00011193,DRKS,2016-10-13,2016-10-10,TRUE
DRKS00012258,DRKS,2017-04-20,2017-04-24,TRUE
DRKS00003139,DRKS,2012-01-17,2011-09-26,FALSE
DRKS00003574,DRKS,2012-03-12,2011-10-17,FALSE
DRKS00005224,DRKS,2014-01-03,2014-01-01,TRUE
DRKS00007607,DRKS,2014-12-09,2014-11-28,FALSE
DRKS00009221,DRKS,2016-01-12,2015-05-02,FALSE
DRKS00010157,DRKS,2016-05-30,2016-06-06,TRUE
DRKS00011783,DRKS,2017-02-20,2013-03-14,FALSE
DRKS00013512,DRKS,2017-12-04,2012-08-23,FALSE
DRKS00010037,DRKS,2016-02-12,2016-02-25,TRUE
DRKS00010782,DRKS,2017-02-06,2010-04-23,FALSE
DRKS00005108,DRKS,2015-04-09,2014-03-01,FALSE
DRKS00004288,DRKS,2012-09-18,2012-10-01,TRUE
DRKS00005035,DRKS,2013-06-03,2013-06-09,TRUE
DRKS00007140,DRKS,2015-08-20,2014-02-10,FALSE
DRKS00007730,DRKS,2015-01-26,2015-01-22,TRUE
DRKS00007888,DRKS,2015-03-19,2014-07-15,FALSE
DRKS00008561,DRKS,2015-06-08,2015-06-22,TRUE
DRKS00009249,DRKS,2015-11-18,2013-06-12,FALSE
DRKS00009883,DRKS,2016-03-10,2015-06-01,FALSE
DRKS00010523,DRKS,2016-05-13,2014-04-04,FALSE
DRKS00010543,DRKS,2016-08-23,2016-07-18,FALSE
DRKS00010625,DRKS,2016-06-23,2012-01-02,FALSE
DRKS00010695,DRKS,2017-02-15,2016-07-20,FALSE
DRKS00011045,DRKS,2016-09-01,2016-09-01,TRUE
DRKS00011153,DRKS,2016-10-18,2015-04-10,FALSE
DRKS00012382,DRKS,2017-05-11,2015-04-01,FALSE
DRKS00007907,DRKS,2015-04-30,2012-04-24,FALSE
DRKS00005159,DRKS,2013-09-25,2013-11-20,TRUE
DRKS00005481,DRKS,2013-11-28,2014-02-10,TRUE
DRKS00006130,DRKS,2014-06-03,2013-10-31,FALSE
DRKS00006189,DRKS,2014-07-03,2014-07-07,TRUE
DRKS00006765,DRKS,2014-09-18,2014-09-23,TRUE
DRKS00006863,DRKS,2014-10-31,2014-11-19,TRUE
DRKS00008181,DRKS,2015-07-13,2015-06-09,FALSE
DRKS00011199,DRKS,2016-10-14,2016-10-10,TRUE
DRKS00012257,DRKS,2017-04-04,2017-04-04,TRUE
DRKS00012980,DRKS,2017-09-20,2014-04-01,FALSE
DRKS00010960,DRKS,2016-08-19,2013-06-08,FALSE
DRKS00003252,DRKS,2013-03-13,2013-06-18,TRUE
DRKS00003388,DRKS,2011-12-14,2012-06-01,TRUE
DRKS00004158,DRKS,2012-07-27,2013-11-11,TRUE
DRKS00004226,DRKS,2012-10-23,2012-10-15,TRUE
DRKS00004245,DRKS,2012-10-19,2010-07-07,FALSE
DRKS00004675,DRKS,2013-06-11,2012-10-19,FALSE
DRKS00004900,DRKS,2014-08-28,2014-11-10,TRUE
DRKS00005127,DRKS,2013-07-03,2013-08-16,TRUE
DRKS00005497,DRKS,2014-02-25,2013-07-08,FALSE
DRKS00006137,DRKS,2014-07-04,2013-05-01,FALSE
DRKS00006206,DRKS,2014-07-01,2014-03-24,FALSE
DRKS00007784,DRKS,2015-03-23,2015-06-30,TRUE
DRKS00007800,DRKS,2015-02-10,2015-02-15,TRUE
DRKS00007807,DRKS,2015-02-13,2013-12-01,FALSE
DRKS00007880,DRKS,2015-04-15,2014-01-06,FALSE
DRKS00007885,DRKS,2015-03-09,2015-02-09,FALSE
DRKS00008023,DRKS,2015-12-04,2015-10-20,FALSE
DRKS00008668,DRKS,2015-08-12,2015-04-21,FALSE
DRKS00008715,DRKS,2015-06-02,2014-03-03,FALSE
DRKS00009828,DRKS,2015-12-30,2012-05-30,FALSE
DRKS00009997,DRKS,2016-05-06,2016-04-18,FALSE
DRKS00011040,DRKS,2016-10-31,2011-09-24,FALSE
DRKS00011174,DRKS,2016-10-19,2014-08-07,FALSE
DRKS00011528,DRKS,2017-01-03,2017-01-12,TRUE
DRKS00011651,DRKS,2017-01-27,2017-01-16,TRUE
DRKS00011837,DRKS,2017-03-09,2017-03-31,TRUE
DRKS00011853,DRKS,2017-03-23,2015-07-20,FALSE
DRKS00012404,DRKS,2017-05-02,2017-05-02,TRUE
DRKS00012464,DRKS,2017-05-30,2013-12-01,FALSE
DRKS00013513,DRKS,2017-12-04,2013-05-04,FALSE
DRKS00003534,DRKS,2012-02-14,2012-04-16,TRUE
DRKS00009547,DRKS,2015-11-05,2015-12-22,TRUE
DRKS00006098,DRKS,2014-04-23,2012-05-02,FALSE
DRKS00007781,DRKS,2015-03-25,2015-03-27,TRUE
DRKS00007816,DRKS,2015-02-16,2014-02-03,FALSE
DRKS00000741,DRKS,2011-03-02,2011-02-28,FALSE
DRKS00003166,DRKS,2011-07-04,2011-06-26,FALSE
DRKS00003438,DRKS,2012-02-22,2010-02-27,FALSE
DRKS00003514,DRKS,2012-03-20,2012-04-30,TRUE
DRKS00004386,DRKS,2012-09-25,2012-08-28,FALSE
DRKS00006743,DRKS,2014-09-25,2014-11-05,TRUE
DRKS00006958,DRKS,2014-11-19,2014-08-29,FALSE
DRKS00009232,DRKS,2015-08-19,2015-10-06,TRUE
DRKS00000780,DRKS,2011-03-30,2012-05-21,TRUE
DRKS00003355,DRKS,2011-11-23,2012-04-16,TRUE
DRKS00003452,DRKS,2011-12-23,2012-01-02,TRUE
