nct_id,start_date,study_first_submitted_date,study_first_submitted_qc_date,has_prospective_registration,nlm_download_date_description,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_date_type,verification_date,completion_date_type,completion_date,primary_completion_date_type,primary_completion_date,updated_at,start_month_year,verification_month_year,completion_month_year,primary_completion_month_year,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed,patient_registry,were_results_reported,days_compl_to_summary,days_reg_to_start,summary_result_12_month,summary_result_24_month
NCT02293746,2014-06-30,2014-11-12,2014-11-14,FALSE,NA,NA,NA,2020-06-30,2014-11-18,ESTIMATED,NA,NA,NA,NA,NA,NA,2020-06-30,2020-07-02,ACTUAL,ACTUAL,2020-06-30,ACTUAL,2017-01-09,ACTUAL,2016-12-11,2024-09-27T02:15:12Z,2014-06,2020-06,2017-01-09,2016-12-11,NA,INTERVENTIONAL,NA,NA,Inspire® Upper Airway Stimulation (UAS) System German Post-Market Study,Inspire® Upper Airway Stimulation (UAS) System German Post-Market Study: CE Certificate Number 562872,COMPLETED,NA,PHASE4,60,ACTUAL,"Inspire Medical Systems, Inc.",NA,1,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NA,2024-09-27T02:15:12Z,INDUSTRY,NA,NA,NA,NA,NA,NA,FALSE,NA,-135,FALSE,FALSE
NCT01500330,2012-01-31,2011-12-22,2011-12-22,TRUE,NA,NA,NA,2013-10-08,2011-12-28,ESTIMATED,NA,NA,NA,NA,NA,NA,2013-10-08,2013-10-09,ESTIMATED,NA,2013-10-31,ACTUAL,2012-05-31,ACTUAL,2012-05-31,2024-09-27T02:15:12Z,2012-01,2013-10,2012-05,2012-05,NA,INTERVENTIONAL,NaSK,NA,Home Use of Cupping Massage in Chronic Neck Pain,Randomised Controlled Study on the Effectiveness of Cupping Massage for Home Use in Chronic Neck Pain [Randomisierte Kontrollierte Studie Zur Wirksamkeit Der Schröpfkopfmassage Als Heimanwendung Bei Chronischen Nackenschmerzen],COMPLETED,NA,NA,84,ACTUAL,Universität Duisburg-Essen,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:15:12Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,40,FALSE,FALSE
NCT01673763,2010-07-31,2011-10-17,2012-08-27,FALSE,NA,NA,NA,2017-10-11,2012-08-28,ESTIMATED,NA,NA,NA,NA,NA,NA,2017-10-11,2017-10-13,ACTUAL,ACTUAL,2017-10-31,ACTUAL,2017-08-31,ACTUAL,2016-06-30,2024-09-27T02:15:12Z,2010-07,2017-10,2017-08,2016-06,NA,INTERVENTIONAL,PEPSI,NA,Post-ERCP Pancreatitis Prevention by Stent Insertion,Study to Reduce Incidence of Post-ERCP Pancreatitis by Stent Insertion in the Main Pancreatic Duct After Unintended Cannulation of the Main Pancreatic Duct,COMPLETED,NA,NA,169,ACTUAL,Technical University of Munich,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:15:12Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,-443,FALSE,FALSE
NCT01899456,2013-07-31,2013-07-10,2013-07-12,TRUE,NA,NA,NA,2015-11-03,2013-07-15,ESTIMATED,NA,NA,NA,NA,NA,NA,2015-11-03,2015-11-05,ESTIMATED,NA,2015-11-30,ACTUAL,2015-11-30,ACTUAL,2015-03-31,2024-09-27T02:15:12Z,2013-07,2015-11,2015-11,2015-03,NA,INTERVENTIONAL,ISAR-denerve,NA,Impact of Sympathetic Renal Denervation- a Study in Patients After Renal Transplantation,A Randomized Safety and Efficacy Study Investigating the Effects of Catheter-based Renal Denervation in Patients After Renal Transplantation,COMPLETED,NA,NA,18,ACTUAL,Technical University of Munich,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:15:12Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,21,FALSE,FALSE
NCT01803295,2013-06-30,2013-02-21,2013-02-28,TRUE,NA,NA,NA,2017-06-15,2013-03-04,ESTIMATED,NA,NA,NA,NA,NA,NA,2017-06-15,2017-06-16,ACTUAL,NA,2017-06-30,ACTUAL,2017-06-30,ACTUAL,2016-07-31,2024-09-27T02:15:12Z,2013-06,2017-06,2017-06,2016-07,NA,INTERVENTIONAL,OPTIMA,NA,Pre-TURBT TC-3 Gel Intravesical Instillation in NMIBC,Evaluating the Effect of Pre-TURBT Intravesical Instillation of Mitomycin C (MMC) Mixed With TC-3 Gel in Patients With Non Muscle Invasive Bladder Cancer (NMIBC),COMPLETED,NA,NA,80,ACTUAL,UroGen Pharma Ltd.,NA,3,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:15:12Z,INDUSTRY,NA,NA,NA,NA,NA,NA,FALSE,NA,129,FALSE,FALSE
NCT00466102,2006-12-31,2007-04-25,2007-04-25,FALSE,NA,NA,NA,2012-08-29,2007-04-27,ESTIMATED,NA,NA,NA,NA,NA,NA,2012-08-29,2012-08-30,ESTIMATED,NA,2012-08-31,ESTIMATED,2012-12-31,ACTUAL,2010-12-31,2024-09-27T02:15:12Z,2006-12,2012-08,2012-12,2010-12,NA,INTERVENTIONAL,RADAR,NA,Efficacy of RAD001 in Breast Cancer Patients With Bone Metastases,RADAR: A Randomized Discontinuation Phase II Study to Determine the Efficacy of RAD001 in Breast Cancer Patients With Bone Metastases,UNKNOWN,ACTIVE_NOT_RECRUITING,PHASE2,130,ESTIMATED,German Breast Group,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:15:12Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,-115,FALSE,FALSE
NCT00953264,2007-12-31,2009-08-05,2009-08-05,FALSE,NA,NA,NA,2017-12-14,2009-08-06,ESTIMATED,NA,NA,NA,NA,NA,NA,2017-12-14,2017-12-15,ACTUAL,NA,2016-01-31,ACTUAL,2013-12-31,ACTUAL,2013-12-31,2024-09-27T02:15:12Z,2007-12,2016-01,2013-12,2013-12,NA,INTERVENTIONAL,NA,NA,Hormonal and Metabolic Effects of Weight Loss,Hormonal and Metabolic Effects of Weight Loss,COMPLETED,NA,NA,290,ACTUAL,"Charite University, Berlin, Germany",NA,1,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:15:12Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,-583,FALSE,FALSE
NCT02519101,2015-06-30,2015-08-01,2015-08-07,FALSE,NA,NA,NA,2017-08-29,2015-08-10,ESTIMATED,NA,NA,NA,NA,NA,NA,2017-08-29,2017-08-30,ACTUAL,NA,2017-08-31,ACTUAL,2016-05-31,ACTUAL,2016-05-31,2024-09-27T02:21:16Z,2015-06,2017-08,2016-05,2016-05,NA,INTERVENTIONAL,ANIKOB,NA,Effects of Continuous Noninvasive Arterial Pressure Measurement on Anaesthesia,Impact of Continuous Noninvasive Arterial Blood Pressure Monitoring on Blood Pressure Stability During General Anaesthesia in Orthopedic Patients,COMPLETED,NA,NA,160,ACTUAL,Ludwig-Maximilians - University of Munich,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:21:16Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,-32,FALSE,FALSE
NCT02304965,2014-11-30,2014-11-21,2014-12-01,TRUE,NA,NA,NA,2015-09-02,2014-12-02,ESTIMATED,NA,NA,NA,NA,NA,NA,2015-09-02,2015-09-03,ESTIMATED,NA,2015-06-30,ACTUAL,2015-09-30,ACTUAL,2015-06-30,2024-09-27T02:21:16Z,2014-11,2015-06,2015-09,2015-06,NA,INTERVENTIONAL,NA,NA,Activity at Pulse Pressure Above an Individual Threshold in Patients With LVAD,Daily Physical Activity at Pulse Pressure Above an Individual Threshold in Patients With Continuous Flow Left Ventricular Assist Devices - a Feasibility Study,COMPLETED,NA,NA,7,ACTUAL,Hannover Medical School,NA,1,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:21:16Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,9,FALSE,FALSE
NCT01412190,2009-04-30,2011-06-30,2011-08-08,FALSE,NA,NA,NA,2022-08-24,2011-08-09,ESTIMATED,NA,NA,NA,NA,NA,NA,2022-08-24,2022-08-25,ACTUAL,NA,2012-11-30,ACTUAL,2010-07-31,ACTUAL,2010-07-31,2024-09-27T02:21:16Z,2009-04,2012-11,2010-07,2010-07,NA,INTERVENTIONAL,NA,NA,Study to Evaluate Restylane Vital Light Using an Injector Device,"An Open, Randomized, Single-centre, Intra-individual Controlled, Explorative, Safety and Efficacy Study Comparing Restylane Vital White With no Treatment in the Face, Back of the Hands and décolletage, Using an Injector Device",COMPLETED,NA,NA,30,ACTUAL,Galderma R&D,NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:21:16Z,INDUSTRY,NA,NA,NA,NA,NA,NA,FALSE,NA,-791,FALSE,FALSE
NCT02300337,2014-11-30,2014-11-20,2014-11-24,TRUE,NA,NA,NA,2015-01-16,2014-11-25,ESTIMATED,NA,NA,NA,NA,NA,NA,2015-01-16,2015-01-19,ESTIMATED,NA,2015-01-31,ACTUAL,2015-01-31,ACTUAL,2015-01-31,2024-09-27T02:21:16Z,2014-11,2015-01,2015-01,2015-01,NA,INTERVENTIONAL,LTS,NA,Comparison of Reduced Cuff-pressure of the Laryngeal Tube Under General Anesthesia,"Comparative Study of the Tightness of the Laryngeal Tube Under Mechanical Ventilation Before and After Reduction of Cuff Pressure on 60cmH₂O, 50cmH₂O, 40cmH₂O or 30cmH₂O",COMPLETED,NA,NA,60,ACTUAL,Johannes Gutenberg University Mainz,NA,1,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:21:16Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,10,FALSE,FALSE
NCT00542048,2007-11-30,2007-10-09,2007-10-09,TRUE,NA,NA,NA,2010-02-08,2007-10-10,ESTIMATED,NA,NA,NA,NA,NA,NA,2010-02-08,2010-02-09,ESTIMATED,NA,2009-11-30,ACTUAL,2009-09-30,ACTUAL,2009-09-30,2024-09-27T02:21:16Z,2007-11,2009-11,2009-09,2009-09,NA,INTERVENTIONAL,NA,NA,A Trial Evaluating the Pharmacokinetics and Mode of Action of EndoTAG®-1 in Tumor Patients With Hepatic Metastases,"An Open-label, Uncontrolled, Phase II Trial Evaluating the Single-dose and Steady-state Pharmacokinetics of EndoTAG®-1 and Its Effect on the Blood Supply and the Angiogenesis of Hepatic Metastases in Patients With a Carcinomatous Primary Tumor Other Than Hepatocellular (HCC), Biliary or Bile Duct Carcinoma",COMPLETED,NA,PHASE2,20,ACTUAL,MediGene,NA,1,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:21:16Z,INDUSTRY,NA,NA,NA,NA,NA,NA,FALSE,NA,52,FALSE,FALSE
NCT00650143,2008-03-31,2008-03-27,2008-03-31,TRUE,NA,NA,NA,2022-08-24,2008-04-01,ESTIMATED,NA,NA,NA,NA,NA,NA,2022-08-24,2022-08-25,ACTUAL,NA,2022-08-31,ACTUAL,2013-06-30,ACTUAL,2012-06-30,2024-09-27T02:21:16Z,2008-03,2022-08,2013-06,2012-06,NA,INTERVENTIONAL,SITAGRAMI,NA,Sitagliptin Plus Granulocyte-colony Stimulating Factor in Acute Myocardial Infarction,Safety and Efficacy of Sitagliptin Plus Granulocyte-colony Stimulating Factor in Patients Suffering From Acute Myocardial Infarction,COMPLETED,NA,PHASE2/PHASE3,174,ACTUAL,Ludwig-Maximilians - University of Munich,NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:21:16Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,4,FALSE,FALSE
NCT01433523,2011-08-31,2011-08-26,2011-09-13,TRUE,NA,NA,NA,2017-01-27,2011-09-14,ESTIMATED,NA,NA,NA,NA,NA,NA,2017-01-27,2017-01-30,ESTIMATED,NA,2017-01-31,ACTUAL,2014-02-28,ACTUAL,2013-04-30,2024-09-27T02:21:16Z,2011-08,2017-01,2014-02,2013-04,NA,INTERVENTIONAL,MITRA,NA,House Dust Mite Treatment of Asthma. The MITRA Trial House Dust Mite Treatment of Asthma,Efficacy of ALK House Dust Mite Allergy Immunotherapy Tablet in Subjects With House Dust Mite Induced Asthma. The MITRA Trial,COMPLETED,NA,PHASE3,834,ACTUAL,ALK-Abelló A/S,NA,3,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27T02:21:16Z,INDUSTRY,NA,NA,NA,NA,NA,NA,FALSE,NA,5,FALSE,FALSE
NCT00886704,2009-04-30,2009-04-21,2009-04-22,TRUE,NA,2011-06-15,NA,2011-09-29,2009-04-23,ESTIMATED,2011-08-18,2011-09-26,ESTIMATED,NA,NA,NA,2011-09-29,2011-10-07,ESTIMATED,NA,2009-07-31,ACTUAL,2009-09-30,ACTUAL,2009-08-31,2024-09-25T06:55:11Z,2009-04,2009-07,2009-09,2009-08,NA,INTERVENTIONAL,NA,NA,"Omega-3 Fatty Acids, the Omega-3 Index, and Atherosclerosis",Influence of Dietary Omega-3 Fatty Acids in a Convenience Drink (Smartfish) on the Omega-3 Index in Patients With Atherosclerotic Disease,COMPLETED,NA,NA,50,ACTUAL,Ludwig-Maximilians - University of Munich,"Single center study, too small to detect rare side effects, 8 week intervention period relatively short.",2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-25T06:55:11Z,OTHER,NA,NA,NA,NA,NA,NA,TRUE,623,9,FALSE,TRUE
NCT01072305,2009-02-28,2010-02-18,2010-02-19,FALSE,NA,NA,NA,2010-02-19,2010-02-22,ESTIMATED,NA,NA,NA,NA,NA,NA,2010-02-19,2010-02-22,ESTIMATED,NA,2010-01-31,ACTUAL,2009-06-30,ACTUAL,2009-06-30,2024-09-25T06:55:11Z,2009-02,2010-01,2009-06,2009-06,NA,INTERVENTIONAL,NA,NA,Pneumatic Compression of the Legs to Reduce Fluid Demand in Minor Surgery,Einfluss Der Intermittierenden Pneumatischen Kompression Der Unteren Extremitäten Auf Den Intraoperativen Flüssigkeitsbedarf,COMPLETED,NA,NA,70,ACTUAL,"University Hospital, Bonn",NA,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-25T06:55:11Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,-355,FALSE,FALSE
NCT00850382,2009-06-30,2009-02-23,2009-02-24,TRUE,NA,NA,NA,2016-02-29,2009-02-25,ESTIMATED,NA,NA,NA,NA,NA,NA,2016-02-29,2016-03-01,ESTIMATED,NA,2016-02-29,ACTUAL,2015-11-30,ACTUAL,2015-11-30,2024-09-25T17:20:56Z,2009-06,2016-02,2015-11,2015-11,NA,INTERVENTIONAL,NA,NA,Dasatinib (Sprycel™) in Patients With Newly Diagnosed Core Binding Factor (CBF) Acute Myeloid Leukemia (AML),"Open-Label, Multicenter Phase Ib/IIa Study For the Evaluation of Dasatinib (Sprycel™) Following Induction and Consolida-tion Therapy as Well as in Maintenance Therapy in Patients With Newly Diagnosed Core Binding Factor (CBF) Acute Myeloid Leukemia (AML)",COMPLETED,NA,PHASE1/PHASE2,89,ACTUAL,University of Ulm,NA,1,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-25T17:20:56Z,OTHER,NA,NA,NA,NA,NA,NA,FALSE,NA,127,FALSE,FALSE
