iv_id,iv_registry,mdr_study_id,identifier,identifier_type,identifier_type_id,identifier_source
NCT00293943,ClinicalTrials.gov,2026525,AFNET-B04-1,Sponsor’s ID,14,Atrial Fibrillation Network
NCT00298597,ClinicalTrials.gov,2026875,2005-001113-18,Trial registry ID,11,EU Clinical Trials Register
NCT00298597,ClinicalTrials.gov,2026875,GCSFEPO_01,Sponsor’s ID,14,University Hospital Muenster
NCT00326989,ClinicalTrials.gov,2029010,2005-005709-50,Trial registry ID,11,EU Clinical Trials Register
NCT00326989,ClinicalTrials.gov,2029010,1122005,Sponsor’s ID,14,"Cardiology, University of Frankfurt"
NCT00326989,ClinicalTrials.gov,2029010,Cellwave CHF,Type not provided,1,No organisation name provided in source data
NCT00335543,ClinicalTrials.gov,2029644,ISRCTN78805636,Trial registry ID,11,ISRCTN
NCT00335543,ClinicalTrials.gov,2029644,70-3046-Ho 2,Sponsor’s ID,14,"Friedrich-Alexander University Erlangen-Nuremberg, Medical Faculty (Germany)"
NCT00335543,ClinicalTrials.gov,2029644,IAGTDK-70-3046-Ho2,Sponsor’s ID,14,National Cancer Institute
NCT00335543,ClinicalTrials.gov,2029644,EU-20609,Type not provided,1,No organisation name provided in source data
NCT00335543,ClinicalTrials.gov,2029644,CDR0000472206,NCI PDQ ID,49,National Cancer Institute
NCT00351403,ClinicalTrials.gov,2030813,ISRCTN62432886,Trial registry ID,11,ISRCTN
NCT00351403,ClinicalTrials.gov,2030813,2006-000358-38,Trial registry ID,11,EU Clinical Trials Register
NCT00351403,ClinicalTrials.gov,2030813,P04755,Sponsor’s ID,14,Saarland University Hospital (Universitätsklinikum des Saarlandes) (Germany)
NCT00351403,ClinicalTrials.gov,2030813,INDIV-2,Sponsor’s ID,14,FGK Clinical Research GmbH
NCT00355095,ClinicalTrials.gov,2031089,0026,Sponsor’s ID,14,Institut fuer anwendungsorientierte Forschung und klinische Studien GmbH
NCT00359918,ClinicalTrials.gov,2031450,Reg.-Nr. 008/2006,Sponsor’s ID,14,Universität Leipzig
NCT00362089,ClinicalTrials.gov,2031611,EKFZ001_CN,Sponsor’s ID,14,Technische Universität München
NCT00362089,ClinicalTrials.gov,2031611,INFAT,Other,90,Else Kroener-Fresenius-Center for Nutritional Medicine
NCT00366158,ClinicalTrials.gov,2031915,CR06001LV,Sponsor’s ID,14,Abbott Laboratories
NCT00368953,ClinicalTrials.gov,2032129,Lipsia-Yukon-DM,Sponsor’s ID,14,Universität Leipzig
NCT00373451,ClinicalTrials.gov,2032466,GE IDE No. A01106,Sponsor’s ID,14,Deutsches Herzzentrum Muenchen
NCT00374985,ClinicalTrials.gov,2032583,GC-DOR-2004,Sponsor’s ID,14,Johannes Gutenberg-Universität Mainz
NCT00375219,ClinicalTrials.gov,2032601,CTRI-2013-06-003748,Trial registry ID,11,Clinical Trials Registry - India
NCT00375219,ClinicalTrials.gov,2032601,ACTRN12609000373279,Trial registry ID,11,Australian New Zealand Clinical Trials Registry
NCT00375219,ClinicalTrials.gov,2032601,2006-000176-32,Trial registry ID,11,EU Clinical Trials Register
NCT00375219,ClinicalTrials.gov,2032601,CGX-635-CML-202 (ChemGenex Pharmaceuticals),Sponsor’s ID,14,ChemGenex Pharmaceuticals Inc
NCT00375219,ClinicalTrials.gov,2032601,CGX-635-CML-202,Sponsor’s ID,14,Teva Pharmaceuticals
NCT00382967,ClinicalTrials.gov,2033187,PDT409,Sponsor’s ID,14,GE Healthcare
NCT00390832,ClinicalTrials.gov,2033780,GE IDE No. I01106,Sponsor’s ID,14,Deutsches Herzzentrum Muenchen
NCT00392184,ClinicalTrials.gov,2033884,German-Austrian APBI Trial,Sponsor’s ID,14,University of Erlangen-Nürnberg Medical School
NCT00395252,ClinicalTrials.gov,2034111,2005-005168-94,Trial registry ID,11,EU Clinical Trials Register
NCT00395252,ClinicalTrials.gov,2034111,KKS-77-05,Sponsor’s ID,14,Philipps-University of Marburg
NCT00400387,ClinicalTrials.gov,2034496,ISRCTN53717039,Trial registry ID,11,ISRCTN
NCT00400387,ClinicalTrials.gov,2034496,2006-001984-53,Trial registry ID,11,EU Clinical Trials Register
NCT00400387,ClinicalTrials.gov,2034496,ETHIG II,Sponsor’s ID,14,Friedrich-Schiller-Universität Jena
NCT00402675,ClinicalTrials.gov,2034670,Leipzig-4,Sponsor’s ID,14,Universität Leipzig
NCT00404092,ClinicalTrials.gov,2034778,2006-001936-30,Trial registry ID,11,EU Clinical Trials Register
NCT00404092,ClinicalTrials.gov,2034778,Uni-Koeln-687,Sponsor’s ID,14,Universität zu Kôln
NCT00419601,ClinicalTrials.gov,2035937,ISRCTN06135415,Trial registry ID,11,ISRCTN
NCT00419601,ClinicalTrials.gov,2035937,KKSK-251,Sponsor’s ID,14,University of Cologne (Germany)
NCT00419601,ClinicalTrials.gov,2035937,KKSK 251,Sponsor’s ID,14,Universität zu Kôln
NCT00422916,ClinicalTrials.gov,2036189,GFEL011174505,Sponsor’s ID,14,Universität Witten/Herdecke
NCT00437385,ClinicalTrials.gov,2037274,ek224-05b,Sponsor’s ID,14,Charité - Universitätsmedizin Berlin
NCT00438451,ClinicalTrials.gov,2037354,ISRCTN94839639,Trial registry ID,11,ISRCTN
NCT00438451,ClinicalTrials.gov,2037354,2005-003324-19,Trial registry ID,11,EU Clinical Trials Register
NCT00438451,ClinicalTrials.gov,2037354,STEPONE05,Sponsor’s ID,14,Johannes Gutenberg-Universität Mainz
NCT00440167,ClinicalTrials.gov,2037484,RC-57 crossover,Sponsor’s ID,14,"Ludwig-Maximilians, University of Munich"
NCT00445081,ClinicalTrials.gov,2037861,2006-003667-31,Trial registry ID,11,EU Clinical Trials Register
NCT00445081,ClinicalTrials.gov,2037861,TUD_PROVE_001,Sponsor’s ID,14,Technische Universität Dresden
NCT00447304,ClinicalTrials.gov,2038027,2006-002056-14,Trial registry ID,11,EU Clinical Trials Register
NCT00447304,ClinicalTrials.gov,2038027,AC-DC-01,Sponsor’s ID,14,Universitätsklinikum Heidelberg
NCT00447304,ClinicalTrials.gov,2038027,AC-DC-01/Version 02/6.04.06,Type not provided,1,No organisation name provided in source data
NCT00449969,ClinicalTrials.gov,2038228,02-AnIt-07,Sponsor’s ID,14,University Hospital Muenster
NCT00456092,ClinicalTrials.gov,2038688,CC-10004-PSA-001,Sponsor’s ID,14,Amgen
NCT00469638,ClinicalTrials.gov,2039705,A07,Sponsor’s ID,14,Abbott Laboratories
NCT00470626,ClinicalTrials.gov,2039779,05-507,Sponsor’s ID,14,Cook Group Incorporated
NCT00470626,ClinicalTrials.gov,2039779,"110006, GTMX",Type not provided,1,No organisation name provided in source data
NCT00473499,ClinicalTrials.gov,2039994,BBM-VS54-HOM,Sponsor’s ID,14,Universitätsklinikum des Saarlandes
NCT00478933,ClinicalTrials.gov,2040397,DISCOVERY,Sponsor’s ID,14,Medtronic Bakken Research Center
NCT00480077,ClinicalTrials.gov,2040481,CTRI-2009-091-000440,Trial registry ID,11,Clinical Trials Registry - India
NCT00480077,ClinicalTrials.gov,2040481,20061016-V2,Sponsor’s ID,14,Medtronic Bakken Research Center
NCT00504400,ClinicalTrials.gov,2042319,2006-006233-40,Trial registry ID,11,EU Clinical Trials Register
NCT00504400,ClinicalTrials.gov,2042319,CRFB002ADE04,Sponsor’s ID,14,Universitätsklinikum Bonn
NCT00506688,ClinicalTrials.gov,2042490,2005-003870-88,Trial registry ID,11,EU Clinical Trials Register
NCT00506688,ClinicalTrials.gov,2042490,MUKO-D-GSH-4,Sponsor’s ID,14,Mukoviszidose Institut gGmbH i G
NCT00506688,ClinicalTrials.gov,2042490,Muko-D-GSH-4,Sponsor’s ID,14,Mukoviszidose Institut gGmbH
NCT00507988,ClinicalTrials.gov,2042589,01GW0630,Sponsor’s ID,14,Universität Heidelberg
NCT00509184,ClinicalTrials.gov,2042681,2006-001212-72,Trial registry ID,11,EU Clinical Trials Register
NCT00509184,ClinicalTrials.gov,2042681,MIR,Sponsor’s ID,14,Universitätsklinikum Heidelberg
NCT00510965,ClinicalTrials.gov,2042816,2006-006233-49,Trial registry ID,11,EU Clinical Trials Register
NCT00510965,ClinicalTrials.gov,2042816,CRFB002ADE03,Sponsor’s ID,14,Universitätsklinikum Bonn
NCT00512135,ClinicalTrials.gov,2042906,2006-005342-36,Trial registry ID,11,EU Clinical Trials Register
NCT00512135,ClinicalTrials.gov,2042906,MRZ 60201-0609/1,Sponsor’s ID,14,Merz Pharmaceuticals GmbH
NCT00515814,ClinicalTrials.gov,2043179,RI-PT-2005,Sponsor’s ID,14,Retina Implant AG
NCT00515814,ClinicalTrials.gov,2043179,Retina Implant Project,Type not provided,1,No organisation name provided in source data
NCT00521664,ClinicalTrials.gov,2043620,PEI 1224/01,Sponsor’s ID,14,Technische Universität Dresden
NCT00523393,ClinicalTrials.gov,2043751,2006-006573-24,Trial registry ID,11,EU Clinical Trials Register
NCT00523393,ClinicalTrials.gov,2043751,Glargine and EPC,Sponsor’s ID,14,Universitätsklinikum Heidelberg
NCT00533221,ClinicalTrials.gov,2044495,2005-002822-78,Trial registry ID,11,EU Clinical Trials Register
NCT00533221,ClinicalTrials.gov,2044495,SMA-GH,Sponsor’s ID,14,Universitätsklinikum Freiburg
NCT00534079,ClinicalTrials.gov,2044559,2007-001548-36,Trial registry ID,11,EU Clinical Trials Register
NCT00534079,ClinicalTrials.gov,2044559,pulmozyme-nasal-cf,Sponsor’s ID,14,Friedrich-Schiller-Universität Jena
NCT00534287,ClinicalTrials.gov,2044575,2006-006984-21,Trial registry ID,11,EU Clinical Trials Register
NCT00534287,ClinicalTrials.gov,2044575,MAXSEP,Sponsor’s ID,14,Friedrich-Schiller-University of Jena
NCT00534287,ClinicalTrials.gov,2044575,bmbf grant: 01 KI 01 06,Type not provided,1,No organisation name provided in source data
NCT00535652,ClinicalTrials.gov,2044679,01-07,Sponsor’s ID,14,Universität Ulm
NCT00538356,ClinicalTrials.gov,2044885,HS042,Sponsor’s ID,14,Biotronik
NCT00538356,ClinicalTrials.gov,2044885,There is no secondary ID,Type not provided,1,No organisation name provided in source data
NCT00538928,ClinicalTrials.gov,2044928,KKS 4012-001-07,Sponsor’s ID,14,Universität Regensburg
NCT00543686,ClinicalTrials.gov,2045289,165/07/FFM,Sponsor’s ID,14,Johann Wolfgang Goethe University Hospital
NCT00543881,ClinicalTrials.gov,2045303,01MG531,Sponsor’s ID,14,Charité - Universitätsmedizin Berlin
NCT00552981,ClinicalTrials.gov,2045984,HELI-2007,Sponsor’s ID,14,Charité - Universitätsmedizin Berlin
NCT00559442,ClinicalTrials.gov,2046459,S-169/2007,Sponsor’s ID,14,Universität Heidelberg
NCT00567736,ClinicalTrials.gov,2047085,2006-006390-24,Trial registry ID,11,EU Clinical Trials Register
NCT00567736,ClinicalTrials.gov,2047085,DISCI-Studie,Sponsor’s ID,14,WALA Heilmittel GmbH
NCT00567736,ClinicalTrials.gov,2047085,DISCI-07,Sponsor’s ID,14,Charité - Universitätsmedizin Berlin
NCT00568841,ClinicalTrials.gov,2047169,2005-005393-73,Trial registry ID,11,EU Clinical Trials Register
NCT00568841,ClinicalTrials.gov,2047169,ERLOPET_01,Sponsor’s ID,14,University Cologne
NCT00568841,ClinicalTrials.gov,2047169,06159,Type not provided,1,No organisation name provided in source data
NCT00571155,ClinicalTrials.gov,2047338,2007-005063-96,Trial registry ID,11,EU Clinical Trials Register
NCT00571155,ClinicalTrials.gov,2047338,HELLO-Study,Sponsor’s ID,14,Universitätsklinikum Tübingen
NCT00571155,ClinicalTrials.gov,2047338,HELLO-Study 2007,Sponsor’s ID,14,University Hospital Tuebingen
NCT00571168,ClinicalTrials.gov,2047339,2004-004956-38,Trial registry ID,11,EU Clinical Trials Register
NCT00571168,ClinicalTrials.gov,2047339,2001-004956-38,Trial registry ID,11,EU Clinical Trials Register
NCT00571168,ClinicalTrials.gov,2047339,EmNa,Sponsor’s ID,14,"Gerlinde Egerer (MD); Internal Medicine, Department V"
NCT00575146,ClinicalTrials.gov,2047637,ERGO,Sponsor’s ID,14,University Hospital Tuebingen
NCT00575588,ClinicalTrials.gov,2047670,2007-003998-55,Trial registry ID,11,EU Clinical Trials Register
NCT00575588,ClinicalTrials.gov,2047670,D1680C00001,Sponsor’s ID,14,AstraZeneca
NCT00579657,ClinicalTrials.gov,2047973,mow_PROFIMET,Sponsor’s ID,14,German Institute of Human Nutrition
NCT00579657,ClinicalTrials.gov,2047973,BMBF Profimet 0313826A,Type not provided,1,No organisation name provided in source data
NCT00583661,ClinicalTrials.gov,2048276,EXCOR® Pediatric,Sponsor’s ID,14,"Berlin Heart, Inc"
NCT00598533,ClinicalTrials.gov,2049388,GE IDE No. S02907,Sponsor’s ID,14,Deutsches Herzzentrum Muenchen
NCT00598611,ClinicalTrials.gov,2049394,2006-003686-13,Trial registry ID,11,EU Clinical Trials Register
NCT00598611,ClinicalTrials.gov,2049394,P04805-V2.0,Sponsor’s ID,14,Charité - Universitätsmedizin Berlin
NCT00598637,ClinicalTrials.gov,2049396,GE IDE No. S02807,Sponsor’s ID,14,Deutsches Herzzentrum Muenchen
NCT00598676,ClinicalTrials.gov,2049399,GE IDE No. S02607,Sponsor’s ID,14,Deutsches Herzzentrum Muenchen
NCT00598715,ClinicalTrials.gov,2049402,GE IDE No. S02407,Sponsor’s ID,14,Deutsches Herzzentrum Muenchen
NCT00599547,ClinicalTrials.gov,2049464,EBMT AlloRIC-MMM,Sponsor’s ID,14,Universitätsklinikum Hamburg-Eppendorf
NCT00600444,ClinicalTrials.gov,2049531,KSC01/08,Sponsor’s ID,14,Universität Heidelberg
NCT00601510,ClinicalTrials.gov,2049612,2006-005792-17,Trial registry ID,11,EU Clinical Trials Register
NCT00601510,ClinicalTrials.gov,2049612,EU-20797,Type not provided,1,No organisation name provided in source data
NCT00601510,ClinicalTrials.gov,2049612,NOVARTIS-KRDI-TUM-STI571,Type not provided,1,No organisation name provided in source data
NCT00601510,ClinicalTrials.gov,2049612,KRDI-TUM-GLIVEC-CSTI571BDE54,Type not provided,1,No organisation name provided in source data
NCT00601510,ClinicalTrials.gov,2049612,KRDI-TUM-STI571,Type not provided,1,No organisation name provided in source data
NCT00601510,ClinicalTrials.gov,2049612,CDR0000581134,NCI PDQ ID,49,National Cancer Institute
NCT00604331,ClinicalTrials.gov,2049821,PYR-2008-01,Sponsor’s ID,14,Herzzentrum Goettingen
NCT00604331,ClinicalTrials.gov,2049821,12/10/00,Type not provided,1,No organisation name provided in source data
NCT00604357,ClinicalTrials.gov,2049823,PATRON07,Sponsor’s ID,14,Universität Regensburg
NCT00605748,ClinicalTrials.gov,2049926,GE IDE No. C00807,Sponsor’s ID,14,Deutsches Herzzentrum Muenchen
NCT00610584,ClinicalTrials.gov,2050282,EA1/214/07,Sponsor’s ID,14,Charité - Universitätsmedizin Berlin
NCT00610584,ClinicalTrials.gov,2050282,DFG,Type not provided,1,No organisation name provided in source data
NCT00611910,ClinicalTrials.gov,2050383,GE IDE No. S02707,Sponsor’s ID,14,Deutsches Herzzentrum Muenchen
NCT00612092,ClinicalTrials.gov,2050397,GE IDE No. R00308,Sponsor’s ID,14,Deutsches Herzzentrum Muenchen
NCT00615264,ClinicalTrials.gov,2050631,ISRCTN55429664,Trial registry ID,11,ISRCTN
NCT00615264,ClinicalTrials.gov,2050631,901,Sponsor’s ID,14,Andromeda Biotech Ltd
NCT00615732,ClinicalTrials.gov,2050666,QENA-08,Sponsor’s ID,14,Charité - Universitätsmedizin Berlin
NCT00617175,ClinicalTrials.gov,2050775,ADVANCE III,Sponsor’s ID,14,Medtronic Bakken Research Center
NCT00618280,ClinicalTrials.gov,2050858,NIKOGEN_HHU_2006,Sponsor’s ID,14,Heinrich Heine Universität Düsseldorf
NCT00618384,ClinicalTrials.gov,2050865,SOCRATES-072,Sponsor’s ID,14,Heinrich Heine Universität Düsseldorf
NCT00626717,ClinicalTrials.gov,2051495,FR-03-CCL,Sponsor’s ID,14,Universitätsklinikum Freiburg
NCT00634881,ClinicalTrials.gov,2052109,CLL2i,Sponsor’s ID,14,German CLL Study Group
NCT00634881,ClinicalTrials.gov,2052109,CDR0000587746,NCI PDQ ID,49,National Cancer Institute
NCT00637169,ClinicalTrials.gov,2052283,ISRCTN62491227,Trial registry ID,11,ISRCTN
NCT00637169,ClinicalTrials.gov,2052283,MCT-79217,Sponsor’s ID,14,McMaster University (Canada)
NCT00637169,ClinicalTrials.gov,2052283,NTG-2006-COT,Sponsor’s ID,14,McMaster University
NCT00640679,ClinicalTrials.gov,2052551,GE IDE No. A01308,Sponsor’s ID,14,Deutsches Herzzentrum Muenchen
NCT00640770,ClinicalTrials.gov,2052558,EE06-02,Sponsor’s ID,14,Cordis Corporation
NCT00644826,ClinicalTrials.gov,2052868,PfVMS-T5,Sponsor’s ID,14,Martin-Luther-Universität Halle-Wittenberg
NCT00646334,ClinicalTrials.gov,2052982,AAG-G-H-0505,Sponsor’s ID,14,Aesculap
NCT00646412,ClinicalTrials.gov,2052988,AAG-G-H-0602,Sponsor’s ID,14,Aesculap
NCT00647049,ClinicalTrials.gov,2053036,DRKS00003748,Trial registry ID,11,Deutschen Register Klinischer Studien
NCT00647049,ClinicalTrials.gov,2053036,2005-000615-99,Trial registry ID,11,EU Clinical Trials Register
NCT00647049,ClinicalTrials.gov,2053036,00465,Sponsor’s ID,14,Universitätsklinikum Freiburg
NCT00647049,ClinicalTrials.gov,2053036,4032327,Sponsor’s ID,14,Universitätsklinikum FreiburgAbt Med 1Hämatologie / Onkologie
NCT00647049,ClinicalTrials.gov,2053036,ZNS-00465,Sponsor’s ID,14,Universitätsklinikum Freiburg
NCT00647413,ClinicalTrials.gov,2053063,Krebshilfe-107539,Sponsor’s ID,14,University Medicine Greifswald
NCT00647413,ClinicalTrials.gov,2053063,DM8-IESO02,Type not provided,1,No organisation name provided in source data
NCT00650078,ClinicalTrials.gov,2053266,2007-003508-36,Trial registry ID,11,EU Clinical Trials Register
NCT00650078,ClinicalTrials.gov,2053266,NP01-007,Sponsor’s ID,14,"Horizon Pharma Ireland, Ltd, Dublin Ireland"
NCT00650143,ClinicalTrials.gov,2053271,22021980,Sponsor’s ID,14,"Ludwig-Maximilians, University of Munich"
NCT00659789,ClinicalTrials.gov,2054006,2007-006302-13,Trial registry ID,11,EU Clinical Trials Register
NCT00659789,ClinicalTrials.gov,2054006,CT-BI Vacc-4x 2007/1,Sponsor’s ID,14,Bionor Immuno AS
NCT00659789,ClinicalTrials.gov,2054006,13619,Other,90,FDA IND
NCT00668759,ClinicalTrials.gov,2054694,VERI-305-AMIO,Sponsor’s ID,14,Advanz Pharma
NCT00670254,ClinicalTrials.gov,2054807,2007-004401-10,Trial registry ID,11,EU Clinical Trials Register
NCT00670254,ClinicalTrials.gov,2054807,HYPRESS,Sponsor’s ID,14,Charité - Universitätsmedizin Berlin
NCT00670254,ClinicalTrials.gov,2054807,01KG0701,Other,90,BMBF
NCT00672334,ClinicalTrials.gov,2054963,2007-002223-32,Trial registry ID,11,EU Clinical Trials Register
NCT00672334,ClinicalTrials.gov,2054963,E2007-0507,Sponsor’s ID,14,Charité Universitaetsmedizin
NCT00674700,ClinicalTrials.gov,2055144,VO57.07,Sponsor’s ID,14,Stallergenes Greer
NCT00682305,ClinicalTrials.gov,2055724,TreoALL,Sponsor’s ID,14,Universitätsklinikum Hamburg-Eppendorf
NCT00687869,ClinicalTrials.gov,2056144,01GX0711,Sponsor’s ID,14,Martin-Luther-Universität Halle-Wittenberg
NCT00690118,ClinicalTrials.gov,2056317,2006-005410-13,Trial registry ID,11,EU Clinical Trials Register
NCT00690118,ClinicalTrials.gov,2056317,GERP ALS,Sponsor’s ID,14,Universität Ulm
NCT00690300,ClinicalTrials.gov,2056331,2005-004236-40,Trial registry ID,11,EU Clinical Trials Register
NCT00690300,ClinicalTrials.gov,2056331,I1-GOA-1,Sponsor’s ID,14,Universität Ulm
NCT00701142,ClinicalTrials.gov,2057147,2007-004612-31,Trial registry ID,11,EU Clinical Trials Register
NCT00701142,ClinicalTrials.gov,2057147,BI3023_2002,Sponsor’s ID,14,CSL Behring GmbH
NCT00701142,ClinicalTrials.gov,2057147,1470,Sponsor’s ID,14,CSL Behring
NCT00701142,ClinicalTrials.gov,2057147,BI3023_2002,Other,90,CSL Behring
NCT00701662,ClinicalTrials.gov,2057187,2007-000710-37,Trial registry ID,11,EU Clinical Trials Register
NCT00701662,ClinicalTrials.gov,2057187,ZLB06_006CR,Sponsor’s ID,14,CSL Behring AG
NCT00701662,ClinicalTrials.gov,2057187,1464,Sponsor’s ID,14,CSL Behring
NCT00701662,ClinicalTrials.gov,2057187,ZLB06_006CR,Other,90,CSL Behring
NCT00705965,ClinicalTrials.gov,2057512,ZKSK-371,Sponsor’s ID,14,Georg-August-Universität Göttingen
NCT00707369,ClinicalTrials.gov,2057616,2006-005854-61,Trial registry ID,11,EU Clinical Trials Register
NCT00707369,ClinicalTrials.gov,2057616,64254080,Trial registry ID,11,ISRCTN
NCT00707369,ClinicalTrials.gov,2057616,ISRCTN64254080,Trial registry ID,11,ISRCTN
NCT00707369,ClinicalTrials.gov,2057616,ABPARO,Sponsor’s ID,14,University Hospital Muenster
NCT00707369,ClinicalTrials.gov,2057616,EH 365/1-1,Sponsor’s ID,14,University Hospital Muenster
NCT00707369,ClinicalTrials.gov,2057616,DFG grant: EH 365/1-1,Type not provided,1,No organisation name provided in source data
NCT00712101,ClinicalTrials.gov,2057974,Final version 1.1,Sponsor’s ID,14,Universität Leipzig
NCT00715091,ClinicalTrials.gov,2058203,2007-007637-39,Trial registry ID,11,EU Clinical Trials Register
NCT00715091,ClinicalTrials.gov,2058203,ENRADAS-01,Sponsor’s ID,14,Charité - Universitätsmedizin Berlin
NCT00715806,ClinicalTrials.gov,2058258,EA1/020/08,Sponsor’s ID,14,Charité - Universitätsmedizin Berlin
NCT00716833,ClinicalTrials.gov,2058337,MPC-UM-0002-DI,Sponsor’s ID,14,"Ludwig-Maximilians, University of Munich"
NCT00718692,ClinicalTrials.gov,2058478,CTRI-2010-091-003049,Trial registry ID,11,Clinical Trials Registry - India
NCT00718692,ClinicalTrials.gov,2058478,2007-006081-15,Trial registry ID,11,EU Clinical Trials Register
NCT00718692,ClinicalTrials.gov,2058478,Sym001-03,Sponsor’s ID,14,Symphogen A/S
NCT00719667,ClinicalTrials.gov,2058551,op 001,Sponsor’s ID,14,German Off Pump Coronary Artery Bypass in Elderly Study Group
NCT00729703,ClinicalTrials.gov,2059308,OPTION - ITAC03,Sponsor’s ID,14,LivaNova
NCT00730548,ClinicalTrials.gov,2059373,CEN_G_CA_7,Sponsor’s ID,14,Medtronic Bakken Research Center
NCT00732979,ClinicalTrials.gov,2059558,NNR-01,Sponsor’s ID,14,Universität Heidelberg
NCT00734942,ClinicalTrials.gov,2059709,01GT0619,Sponsor’s ID,14,Universität Witten/Herdecke
NCT00735280,ClinicalTrials.gov,2059734,GE IDE No. A01408,Sponsor’s ID,14,Deutsches Herzzentrum Muenchen
NCT00745745,ClinicalTrials.gov,2060526,T83,Sponsor’s ID,14,Abbott Laboratories
NCT00747487,ClinicalTrials.gov,2060659,SNT-II-003,Sponsor’s ID,14,Santhera Pharmaceuticals
NCT00748202,ClinicalTrials.gov,2060714,CE1145_1001,Sponsor’s ID,14,Johann Wolfgang Goethe University Hospital
NCT00751465,ClinicalTrials.gov,2060961,EK198082007,Sponsor’s ID,14,Technische Universität Dresden
NCT00751465,ClinicalTrials.gov,2060961,DFG HO1900/5-1,Funder / Contract ID,13,Deutsche Forschungsgemeinschaft DFG HO1900/5-1
NCT00757159,ClinicalTrials.gov,2061392,ZER-PA_01-2008,Sponsor’s ID,14,Technische Universität Dresden
NCT00758017,ClinicalTrials.gov,2061457,Aku-08,Sponsor’s ID,14,Charité - Universitätsmedizin Berlin
